Date,Views,YouTube Premium (USD),Transaction revenue (USD),Watch Page ads (USD),Estimated revenue (USD),Impressions,Impressions click-through rate (%),Watch time (hours)
Total,54981564,32525.391,68109.54,264333.446,364968.378,285141242,14.17,35681450.1212
2023-01-08,511250,260.138,1034.16,1526.659,2820.958,2429021,15.81,272187.3537
2023-01-11,396820,233.802,438.19,1327.662,1999.654,2528397,11.88,250277.7537
2023-01-12,393055,241.504,417.91,1018.997,1678.411,2476997,11.96,259380.1033
2023-01-10,392814,238.235,708.6,1507.777,2454.611,2382236,12.44,253427.2861
2023-01-09,385775,236.24,759.84,1433.77,2429.85,2300602,12.54,249712.7246
2023-01-07,376899,213.56,3842.04,1432.595,5488.195,2233812,12.8,234357.6034
2023-01-15,376770,232.839,214.62,1019.367,1466.825,2054291,13.76,250109.3458
2023-01-13,365670,219.313,238.1,1063.294,1520.706,2294485,11.94,232786.4114
2023-04-06,365208,192.701,111.05,1766.737,2070.488,2707051,10.26,214275.5673
2023-01-16,364086,232.418,243.12,990.621,1466.159,2106202,12.82,247317.1821
2023-01-14,363942,218.187,226.85,964.782,1409.819,2278429,12.01,231954.225
2023-04-05,360664,184.375,118.16,1718.807,2021.341,2564029,10.89,200644.081
2023-01-05,357575,229.498,146.73,1378.717,1754.945,1907835,14.09,242572.2214
2023-01-04,355106,225.175,69.68,1294.029,1588.884,1820506,14.72,246030.3294
2023-01-17,351684,232.751,310.93,939.592,1483.273,2074511,12.56,246848.3514
2023-01-20,349803,182.166,165.5,881.771,1229.436,2115720,12.36,190823.6143
2023-01-19,349183,201.375,219.02,969.809,1390.204,2172809,12.02,213648.1671
2023-01-03,347837,222.635,81.11,1284.339,1588.084,1797010,14.55,242821.5533
2023-01-02,343621,219.174,109.4,1158.116,1486.691,1786232,14.43,235109.8405
2023-01-06,343436,221.062,78.59,1049.72,1349.372,1989658,13,236841.743
2023-01-18,339856,225.065,172.73,916.538,1314.334,2027576,12.49,238357.972
2023-01-01,339630,204.739,115.49,729.482,1049.711,2006647,12.71,220928.5298
2023-03-27,331775,176.567,162.45,1964.223,2303.24,1289858,18.7,203832.5351
2023-04-07,323800,175.783,3613.17,1970.369,5759.322,2231532,10.98,194977.2237
2023-01-21,321572,156.977,286.52,723.413,1166.91,2117187,11.41,161007.3283
2023-02-07,320482,207.901,3852.4,1095.229,5155.53,1691124,13.98,222541.7078
2023-03-04,318976,146.229,86.29,941.443,1173.962,1490937,15.65,173306.7938
2023-02-08,317604,208.11,984.81,759.597,1952.517,1576644,14.9,222923.4206
2023-01-22,316022,164.22,158.03,763.514,1085.764,1933153,12.28,166727.7011
2023-05-17,314447,164.407,234.48,1653.732,2052.619,1474295,15.88,181971.4259
2023-05-16,314348,171.558,201.82,1539.237,1912.616,1375199,16.74,185634.7863
2023-01-27,313427,184.378,247.56,814.338,1246.276,1615188,14.53,197450.029
2023-02-05,313276,207.161,75.78,829.328,1112.268,1676721,13.69,220488.6523
2023-01-26,313165,170.416,806.08,764.985,1741.481,1664445,14.05,185200.662
2023-02-06,312458,212.575,76.49,1040.119,1329.184,1597708,14.27,226176.9085
2023-01-29,312192,201.287,89.02,871.98,1162.286,1588358,14.69,213687.8449
2023-01-30,312054,212.899,41.57,849.042,1103.511,1608749,14.41,224566.0657
2023-02-02,310143,212.752,74.02,845.447,1132.219,1608280,14.21,226245.7444
2023-04-04,309534,161.57,104.7,1662.33,1928.6,2236665,10.6,177043.7745
2023-03-28,308645,171.054,129.17,1850.722,2150.945,1278950,17.38,200838.308
2023-04-19,308427,178.375,205.23,2058.694,2442.299,1664838,14.03,192907.0603
2023-02-01,307852,212.085,103.6,761.181,1076.866,1586258,14.38,222447.218
2023-02-13,307625,201.943,218.45,889.674,1310.067,1510514,14.98,218510.6377
2023-01-31,307321,212.903,39.27,823.649,1075.822,1590089,14.38,225859.1762
2023-01-23,307149,160.639,120.65,705.078,986.367,1731345,13.2,163790.6421
2023-02-03,306630,208.932,85.64,850.275,1144.847,1605491,13.96,221239.1914
2023-02-09,305343,201.722,781.61,893.135,1876.467,1529888,14.69,216674.9129
2023-02-20,304394,199.322,112.91,1019.833,1332.065,1463537,15.37,216636.4645
2023-01-24,304324,167.166,183.1,750.271,1100.537,1560923,14.5,169695.0074
2023-02-21,304042,205.37,183.58,1196.945,1585.895,1486384,15.05,218102.746
2023-04-13,303500,172.463,219.42,2025.939,2417.822,1911948,11.71,192361.4426
2023-04-10,302150,177.53,650.73,1945.894,2774.154,1688759,13.58,194397.3248
2023-04-09,301921,165.963,711.71,1747.907,2625.58,1822303,12.62,185585.8242
2023-02-12,301818,193.195,417.47,1199.728,1810.393,1440276,15.44,208194.4073
2023-01-28,301644,183.832,123.93,781.948,1089.71,1619761,13.92,201613.7057
2023-02-14,301371,205.315,368.91,1036.127,1610.352,1433222,15.56,218356.825
2023-01-25,300992,170.809,88.77,700.508,960.087,1572451,14.26,182365.1138
2023-05-10,300544,167.356,715.58,1748.34,2631.275,1304842,17.21,179668.1818
2023-02-22,300423,200.014,146.92,1172.94,1519.874,1512454,14.62,212123.6275
2023-03-29,298452,146.068,35.94,1518.788,1700.796,1821922,12.23,170292.7683
2023-02-19,298349,194.977,261.06,1108.885,1564.922,1516300,14.46,210064.5554
2023-04-14,298254,162.663,231.58,1902.688,2296.93,2128739,10.43,182275.3655
2023-02-15,297557,195.54,248.75,959.762,1404.053,1486632,14.77,210356.1963
2023-04-12,296046,174.909,237.88,1947.699,2360.488,1717850,13.06,192022.0215
2023-04-08,295816,154.55,907.39,1558.343,2620.282,1896778,11.76,172533.2232
2023-02-16,295555,191.87,250.99,1120.556,1563.416,1493565,14.57,209355.5927
2023-02-04,295100,191.606,70.41,720.122,982.137,1729916,12.34,201895.4394
